aa	Afar	Afaraf
ab	Abkhaz	"аҧсуа бызшәа, аҧсшәа"
ae	Avestan	avesta
af	Afrikaans	Afrikaans
ak	Akan	Akan
am	Amharic	አማርኛ
an	Aragonese	aragonés
ar	Arabic	العربية
as	Assamese	অসমীয়া
av	Avaric	"авар мацӀ, магӀарул мацӀ"
ay	Aymara	aymar aru
az	Azerbaijani	azərbaycan dili
ba	Bashkir	башҡорт теле
be	Belarusian	беларуская мова
bg	Bulgarian	български език
bh	Bihari	भोजपुरी
bi	Bislama	Bislama
bm	Bambara	bamanankan
bn	"Bengali, Bangla"	বাংলা
bo	"Tibetan Standard, Tibetan, Central"	བོད་ཡིག
br	Breton	brezhoneg
bs	Bosnian	bosanski jezik
ca	"Catalan, Valencian"	"català, valencià"
ce	Chechen	нохчийн мотт
ch	Chamorro	Chamoru
co	Corsican	"corsu, lingua corsa"
cr	Cree	ᓀᐦᐃᔭᐍᐏᐣ
cs	Czech	"čeština, český jazyk"
cu	"Old Church Slavonic, Church Slavonic, Old Bulgarian"	ѩзыкъ словѣньскъ
cv	Chuvash	чӑваш чӗлхи
cy	Welsh	Cymraeg
da	Danish	dansk
de	German	Deutsch
dv	"Divehi, Dhivehi, Maldivian"	ދިވެހި
dz	Dzongkha	རྫོང་ཁ
ee	Ewe	Eʋegbe
el	Greek (modern)	ελληνικά
en	English	English
eo	Esperanto	Esperanto
es	"Spanish, Castilian"	"español, castellano"
et	Estonian	"eesti, eesti keel"
eu	Basque	"euskara, euskera"
fa	Persian (Farsi)	فارسی
ff	"Fula, Fulah, Pulaar, Pular"	"Fulfulde, Pulaar, Pular"
fi	Finnish	"suomi, suomen kieli"
fj	Fijian	vosa Vakaviti
fo	Faroese	føroyskt
fr	French	"français, langue française"
fy	Western Frisian	Frysk
ga	Irish	Gaeilge
gd	"Scottish Gaelic, Gaelic"	Gàidhlig
gl	Galician	galego
gn	Guaraní	Avañe'ẽ
gu	Gujarati	ગુજરાતી
gv	Manx	"Gaelg, Gailck"
ha	Hausa	(Hausa) هَوُسَ
he	Hebrew (modern)	עברית
hi	Hindi	"हिन्दी, हिंदी"
ho	Hiri Motu	Hiri Motu
hr	Croatian	hrvatski jezik
ht	"Haitian, Haitian Creole"	Kreyòl ayisyen
hu	Hungarian	magyar
hy	Armenian	Հայերեն
hz	Herero	Otjiherero
ia	Interlingua	Interlingua
id	Indonesian	Bahasa Indonesia
ie	Interlingue	Originally called Occidental; then Interlingue after WWII
ig	Igbo	Asụsụ Igbo
ii	Nuosu	ꆈꌠ꒿ Nuosuhxop
ik	Inupiaq	"Iñupiaq, Iñupiatun"
io	Ido	Ido
is	Icelandic	Íslenska
it	Italian	italiano
