A	Allergy	알레르기
ADL	Adolescent Medicine - Pediatrics	청소년 의학 - 소아과
ADM	Addiction Medicine	중독 의학
ADP	Addiction Psychiatry	중독 정신 의학
AI	Allergy and Immunology	알레르기 및 면역학
ALI	Allergy and Immunology/Clinical and Lab Immunology	알레르기 및 면역학/임상 및 실험 면역학
AM	Aerospace Medicine	항공우주 의학
AMF	Adolescent Medicine	청소년 의학
AMI	Adolescent Medicine - Internal Medicine	청소년 의학 - 내과
AN	Anesthesiology	마취학
APM	Pain Management	통증 관리
AR	Abdominal Radiology	복부 영상 의학과
AS	Abdominal Surgery	복부 외과
ATP	Anatomic Pathology	해부 병리학
BBK	Blood Banking/Transfusion Medicine	혈액 은행/수혈 의학
CBG	Clinical Biochemical Genetics	임상 생화학 유전학
CCA	Critical Care Medicine - Anesthesiology	중환자 의학 - 마취학
CCG	Clinical Cytogenetics	임상 세포 유전학
CCM	Critical Care Medicine - Internal Medicine	중환자 의학 - 내과
CCP	Pediatric Critical Care Medicine	소아 중환자 의학
CD	Cardiovascular Diseases	심혈관 질환
CFS	Craniofacial Surgery	두개 안면 외과
CG	Clinical Genetics	임상 유전학
CHN	Child Neurology	소아 신경학
CHP	Child and Adolescent Psychiatry	소아 청소년 정신 의학
CLP	Clinical Pathology	임상 병리학
CMG	Clinical Molecular Genetics	임상 분자 유전학
CN	Clinical Neurophysiology	임상 신경 생리학
CRS	Colon and Rectal Surgery	결장 직장 외과
CS	Cosmetic Surgery	미용 성형 외과
CTR	Cardiothoracic Radiology	심흉부 영상 의학과
D	Dermatology	피부과
DBP	Developmental-Behavioral Pediatrics	발달 행동 소아 의학
DDL	Clinical and Lab Dermatological Immunology	임상 실험 피부 면역학
DIA	Diabetes	당뇨병
DMP	Dermatopathology	피부 병리학
DR	Diagnostic Radiology	진단 영상 의학과
DS	Dermatologic Surgery	피부 외과
DEN	Dentistry	치과
EM	Emergency Medicine	응급 의학
END	Endocrinology, Diabetes and Metabolism	내분비학, 당뇨 및 신진대사
EP	Epidemiology	전염병학
ETX	Medical Toxicology - Emergency Medicine	의학 독성학 - 응급 의학
FOP	Forensic Pathology	법의 병리학
FP	Family Practice	가정 의학
FPG	Geriatric Medicine - Family Practice	노인 의학 - 가정 의학
FPS	Facial Plastic Surgery	안면 성형 외과
GE	Gastroenterology	소화기 내과
GO	Gynecological Oncology	부인과 종양학
GP	General Practice	일반 진료
GPM	General Preventive Medicine	일반 예방 의학
GS	General Surgery	일반 외과
GYN	Gynecology	부인과
HEM	Hematology-Internal Medicine	혈액학 - 내과
HEP	Hepatology	혈액학
HMP	Hematology-Pathology	혈액학 - 병리학
HNS	Head and Neck Surgery	두경부 외과
HO	Hematology/Oncology	혈액학/종양학
HOS	Hospitalist	입원 환자 전문의
HS	Hand Surgery	수부 외과
IC	Interventional Cardiology	중재 심장학
ICE	Cardiac Electrophysiology	심장 전기 생리학
ID	Infectious Diseases	전염병
IG	Immunology	면역학
ILI	Clinical and Lab Immunology - Internal Medicine	임상 실험 면역학 - 내과
IM	Internal Medicine	내과
IMG	Geriatric Medicine - Internal Medicine	노인 의학 - 내과
LM	Legal Medicine	법의학
MDM	Medical Management	의료 관리
MFM	Maternal and Fetal Medicine	모체 태아 의학
MG	Medical Genetics	의학 유전학
MGG	Molecular Genetic Pathology (Medical Genetics)	분자 유전 병리(의학 유전학)
MGP	Molecular Genetic Pathology (Pathology)	분아 유전 병리(병리학)
MM	Medical Microbiology	의학 미생물학
MPD	Internal Medicine/Pediatrics	내과/소아과
MSR	Musculoskeletal Radiology	근골격 영상 의학과
N	Neurology	신경학
NC	Nuclear Cardiology	핵 심장학
NDN	Neurodevelopmental Disabilities (Psychiatry)	신경 발달 장애(정신 의학과)
NDP	Neurodevelopmental Disabilities (Pediatrics)	신경 발달 장애(소아과)
NEP	Nephrology	신장학
NM	Nuclear Medicine	핵의학
NP	Neuropathology	신경 병리학
NPM	Neonatal-Perinatal Medicine	신생아 주산기 의학
NR	Nuclear Radiology	핵 영상 의학
NRN	Neurology/Diagnostic Radiology/Neuroradiology	신경학/진단 영상 의학/신경 영상 의학
NS	Neurological Surgery	신경 외과
NSP	Pediatric Surgery - Neurology	소아 외과 - 신경학
NTR	Nutrition	영양
OAR	Adult Reconstructive Orthopedics	성인 재건 정형외과
OBG	Obstetrics and Gynecology	산부인과
OBS	Obstetrics	산과
OCC	Critical Care Medicine - Obstetrics and Gynecology	중환자 의학 - 산부인과
OFA	Orthopedics - Foot and Ankle	정형외과 - 족부 및 족관절
OM	Occupational Medicine	직업병 의학
OMF	Oral and Maxillofacial Surgery	구강 및 악안면 외과
OMM	Osteopathic Manipulative Medicine	정골 수기 의학
OMO	Musculoskeletal Oncology	근골격 종양학
ON	Medical Oncology	의학 종양학
OP	Pediatrics Orthopedics	소아 정형외과
OPH	Ophthalmology	안과
ORS	Orthopedic Surgery	정형 외과
ORD	Orthodontics	치과 교정과
OS	Other Specialty	기타 전공
